,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Name,Survived,Boarded,Class,MWC,Age,Adut_or_Chld,Sex,Paid,Ticket_No,Boat_or_Body,Job,Class_Dept,Class_Full,FirstName,LastName,Title,url
10,10,10,10,"ABRAHIM, Mrs Mary Sophie Halaut",Alive,Cherbourg,3,Woman,18,Adult,Female,7.22916667,2657,C,,3rd Class Passenger,3,Mary Sophie Halaut,Abrahim,Mrs,https://www.encyclopedia-titanica.org//titanic-survivor/mary-sophie-abrahim.html
11,11,11,11,"ABRAMS, Mr William Thomas",Dead,Southampton,Crew,Man,33,Adult,Male,,,,Fireman,Engineering Crew,E,William Thomas,Abrams,Mr,https://www.encyclopedia-titanica.org//titanic-victim/william-thomas-abrams.html
12,12,12,12,"DAHL, Mr Mauritz Nils Martin",Dead,Southampton,3,Man,30,Adult,Male,7.25,7076,[72],General Labourer,3rd Class Passenger,3,Mauritz Nils Martin,Dahl,Mr,https://www.encyclopedia-titanica.org//titanic-victim/mauritz-adahl.html
13,13,13,13,"ADAMS, Mr John",Dead,Southampton,3,Man,26,Adult,Male,8.05,341826,[103],,3rd Class Passenger,3,John,Adams,Mr,https://www.encyclopedia-titanica.org//titanic-victim/john-adams.html
14,14,14,14,"ADAMS, Mr Robert John",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Fireman,Engineering Crew,E,Robert John,Adams,Mr,https://www.encyclopedia-titanica.org//titanic-victim/john-adams.html
15,15,15,15,"AHIER, Mr Percy Snowden",Dead,Southampton,Crew,Man,20,Adult,Male,,,,Saloon Steward,Victualling Crew,V,Percy Snowden,Ahier,Mr,https://www.encyclopedia-titanica.org//titanic-victim/percy-snowden-ahier.html
16,16,16,16,"AHLIN, Mrs Johanna Persdotter",Dead,Southampton,3,Woman,40,Adult,Female,9.475,7546,,,3rd Class Passenger,3,Johanna Persdotter,Ahlin,Mrs,https://www.encyclopedia-titanica.org//titanic-victim/johanna-persdotter-ahlin.html
17,17,17,17,"AKERMAN, Mr Albert Edward",Dead,Southampton,Crew,Man,31,Adult,Male,,,,3rd Class Steward,Victualling Crew,V,Albert Edward,Akerman,Mr,https://www.encyclopedia-titanica.org//titanic-victim/albert-akerman.html
18,18,18,18,"AKERMAN, Mr Joseph Francis",Dead,Southampton,Crew,Man,35,Adult,Male,,,[205],Assistant Pantryman Steward,Victualling Crew,V,Joseph Francis,Akerman,Mr,https://www.encyclopedia-titanica.org//titanic-victim/joseph-francis-akerman.html
19,19,19,19,"AKS, Master Frank Philip",Alive,Southampton,3,Child,0,Child,Male,9.35,392091,11,,3rd Class Passenger,3,Frank Philip,Aks,Master,https://www.encyclopedia-titanica.org//titanic-survivor/frank-philip-aks.html
20,20,20,20,"AKS, Mrs Leah",Alive,Southampton,3,Woman,18,Adult,Female,9.35,392091,13,,3rd Class Passenger,3,Leah,Aks,Mrs,https://www.encyclopedia-titanica.org//titanic-survivor/leah-aks.html
21,21,21,21,"ALBIMONA, Mr Nassef Cassem",Alive,Cherbourg,3,Man,26,Adult,Male,18.7875,2699,15,,3rd Class Passenger,3,Nassef Cassem,Albimona,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/nassef-cassem-albimona.html
22,22,22,22,"ALDWORTH, Mr Augustus Henry",Dead,Southampton,2,Man,34,Adult,Male,13,,,Chauffeur,,2,Augustus Henry,Aldworth,Mr,https://www.encyclopedia-titanica.org//titanic-victim/augustus-aldworth.html
23,23,23,23,"ALEXANDER, Mr William",Dead,Southampton,3,Man,23,Adult,Male,7.8875,3474,,General Labourer,3rd Class Passenger,3,William,Alexander,Mr,https://www.encyclopedia-titanica.org//titanic-victim/william-alexander.html
24,24,24,24,"ALHOM_KI, Mr Ilmari Rudolf",Dead,Southampton,3,Man,19,Adult,Male,7.925,3101287,,General Labourer,3rd Class Passenger,3,Ilmari Rudolf,Alhom_ki,Mr,https://www.encyclopedia-titanica.org//titanic-victim/ilmari-rudolf-alhomaki.html
25,25,25,25,"ALI, Mr Ahmed",Dead,Southampton,3,Man,24,Adult,Male,7.05,3101311,,General Labourer,3rd Class Passenger,3,Ahmed,Ali,Mr,https://www.encyclopedia-titanica.org//titanic-victim/ahmed-ali.html
26,26,26,26,"ALI, Mr William",Dead,Southampton,3,Man,25,Adult,Male,7.05,3101312,[79],General Labourer,3rd Class Passenger,3,William,Ali,Mr,https://www.encyclopedia-titanica.org//titanic-victim/william-ali.html
27,27,27,27,"ALLARIA, Sig. Battista Antonio",Dead,Southampton,Crew,Man,22,Adult,Male,,,[221],Assistant Waiter,Restaurant Staff,R,Battista Antonio,Allaria,Sig.,https://www.encyclopedia-titanica.org//titanic-victim/battista-antonio-allaria.html
28,28,28,28,"ALLEN, Miss Elisabeth Walton",Alive,Southampton,1,Woman,29,Adult,Female,211.3375,24160,2,,1st Class Passenger,1,Elisabeth Walton,Allen,Miss,https://www.encyclopedia-titanica.org//titanic-survivor/elisabeth-walton-allen.html
29,29,29,29,"ALLEN, Mr Ernest Frederick",Alive,Southampton,Crew,Man,24,Adult,Male,,,B,Trimmer,Engineering Crew,E,Ernest Frederick,Allen,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/ernest-frederick-allen.html
30,30,30,30,"ALLEN, Mr Frederick",Dead,Southampton,Crew,Man,17,Adult,Male,,,,Lift Steward,Victualling Crew,V,Frederick,Allen,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/ernest-frederick-allen.html
31,31,31,31,"ALLEN, Mr George",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Scullion,Victualling Crew,V,George,Allen,Mr,https://www.encyclopedia-titanica.org//titanic-victim/george-allen.html
32,32,32,32,"ALLEN, Mr Henry",Dead,Southampton,Crew,Man,32,Adult,Male,,,[145],Fireman,Engineering Crew,E,Henry,Allen,Mr,https://www.encyclopedia-titanica.org//titanic-victim/henry-allen.html
33,33,33,33,"ALLEN, Mr Robert Spencer",Dead,Southampton,Crew,Man,36,Adult,Male,,,,Bedroom Steward (1st Class),Victualling Crew,V,Robert Spencer,Allen,Mr,https://www.encyclopedia-titanica.org//titanic-victim/robert-spencer-allan.html
34,34,34,34,"ALLEN, Mr William Henry",Dead,Southampton,3,Man,38,Adult,Male,8.05,373450,,Tool Maker,3rd Class Passenger,3,William Henry,Allen,Mr,https://www.encyclopedia-titanica.org//titanic-victim/henry-allen.html
35,35,35,35,"ALLISON, Master Hudson Trevor",Alive,Southampton,1,Child,0,Child,Male,151.8,113781,11,,1st Class Passenger,1,Hudson Trevor,Allison,Master,https://www.encyclopedia-titanica.org//titanic-survivor/trevor-allison.html
36,36,36,36,"ALLISON, Miss Helen Loraine",Dead,Southampton,1,Child,2,Child,Female,151.8,113781,,,1st Class Passenger,1,Helen Loraine,Allison,Miss,https://www.encyclopedia-titanica.org//titanic-victim/loraine-allison.html
37,37,37,37,"ALLISON, Mr Hudson Joshua Creighton",Dead,Southampton,1,Man,30,Adult,Male,151.8,113781,[135],Businessman,1st Class Passenger,1,Hudson Joshua Creighton,Allison,Mr,https://www.encyclopedia-titanica.org//titanic-victim/hudson-joshua-creighton.html
38,38,38,38,"ALLISON, Mrs Bessie Waldo",Dead,Southampton,1,Woman,25,Adult,Female,151.8,113781,,,1st Class Passenger,1,Bessie Waldo,Allison,Mrs,https://www.encyclopedia-titanica.org//titanic-victim/bessie-waldo-allison.html
39,39,39,39,"ALLSOP, Mr Alfred Samuel",Dead,Belfast,Crew,Man,35,Adult,Male,,,,2nd Electrician,Engineering Crew,E,Alfred Samuel,Allsop,Mr,https://www.encyclopedia-titanica.org//titanic-victim/alfred-samuel-allsop.html
40,40,40,40,"ALLSOP, Mr Frank Richard",Dead,Belfast,Crew,Man,41,Adult,Male,,,,Saloon Steward,Victualling Crew,V,Frank Richard,Allsop,Mr,https://www.encyclopedia-titanica.org//titanic-victim/frank-richard-allsop.html
41,41,41,41,"ALLUM, Mr Owen George",Dead,Southampton,3,Man,15,Adult,Male,8.3,2223,[259],Gardener,3rd Class Passenger,3,Owen George,Allum,Mr,https://www.encyclopedia-titanica.org//titanic-victim/owen-george-allum.html
42,42,42,42,"ANDERSEN-JENSEN, Miss Carla Christine Nielsine",Alive,Southampton,3,Woman,19,Adult,Female,7.85416667,350046,16,,3rd Class Passenger,3,Carla Christine Nielsine,Andersen-jensen,Miss,https://www.encyclopedia-titanica.org/titanic-search.php?q=Carla+Christine+Nielsine+Andersen-jensen
43,43,43,43,"ANDERSEN, Mr Albert Karvin",Dead,Southampton,3,Man,33,Adult,Male,22.525,4001,[260],Engineer,3rd Class Passenger,3,Albert Karvin,Andersen,Mr,https://www.encyclopedia-titanica.org//titanic-victim/albert-karvin-andersen.html
44,44,44,44,"ANDERSON, Mr Harry",Alive,Southampton,1,Man,47,Adult,Male,26.55,19952,3,Stockbroker,1st Class Passenger,1,Harry,Anderson,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/harry-anderson.html
45,45,45,45,"ANDERSON, Mr James",Alive,Southampton,Crew,Man,40,Adult,Male,,,3,Able Seaman,Deck Crew,D,James,Anderson,Mr,https://www.encyclopedia-titanica.org/titanic-search.php?q=James+Anderson
46,46,46,46,"ANDERSON, Mr Walter Yuill",Dead,Southampton,Crew,Man,48,Adult,Male,,,[146],Bed Room Steward,Victualling Crew,V,Walter Yuill,Anderson,Mr,https://www.encyclopedia-titanica.org//titanic-victim/walter-anderson.html
47,47,47,47,"ANDERSSON, Master Sigvard Harald Elias",Dead,Southampton,3,Child,4,Child,Male,31.275,347082,,,3rd Class Passenger,3,Sigvard Harald Elias,Andersson,Master,https://www.encyclopedia-titanica.org//titanic-victim/sigvard-harald-elias-andersson.html
48,48,48,48,"ANDERSSON, Miss Ebba Iris Alfrida",Dead,Southampton,3,Child,6,Child,Female,31.275,347082,,,3rd Class Passenger,3,Ebba Iris Alfrida,Andersson,Miss,https://www.encyclopedia-titanica.org//titanic-victim/alfrida-konstantia-brogren-andersson.html
49,49,49,49,"ANDERSSON, Miss Ellis Anna Maria",Dead,Southampton,3,Child,2,Child,Female,31.275,347082,,,3rd Class Passenger,3,Ellis Anna Maria,Andersson,Miss,https://www.encyclopedia-titanica.org//titanic-victim/ellis-anna-maria-andersson.html
50,50,50,50,"ANDERSSON, Miss Erna Alexandra",Alive,Southampton,3,Woman,17,Adult,Female,7.925,3101281,D,,3rd Class Passenger,3,Erna Alexandra,Andersson,Miss,https://www.encyclopedia-titanica.org//titanic-survivor/erna-andersson.html
51,51,51,51,"ANDERSSON, Miss Ida Augusta Margareta",Dead,Southampton,3,Woman,38,Adult,Female,7.775,347091,,,3rd Class Passenger,3,Ida Augusta Margareta,Andersson,Miss,https://www.encyclopedia-titanica.org//titanic-victim/ida-augusta-margareta-andersson.html
52,52,52,52,"ANDERSSON, Miss Ingeborg Constanzia",Dead,Southampton,3,Child,9,Child,Female,31.275,347082,,,3rd Class Passenger,3,Ingeborg Constanzia,Andersson,Miss,https://www.encyclopedia-titanica.org//titanic-victim/ingeborg-constanzia-andersson.html
53,53,53,53,"ANDERSSON, Miss Sigrid Elisabeth",Dead,Southampton,3,Child,11,Child,Female,31.275,347082,,,3rd Class Passenger,3,Sigrid Elisabeth,Andersson,Miss,https://www.encyclopedia-titanica.org//titanic-victim/sigrid-elisabeth-andersson.html
54,54,54,54,"ANDERSSON, Mr Anders Johan",Dead,Southampton,3,Man,39,Adult,Male,31.275,347082,,General Labourer,3rd Class Passenger,3,Anders Johan,Andersson,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/erna-andersson.html
55,55,55,55,"ANDERSSON, Mr Johan Samuel",Dead,Southampton,3,Man,26,Adult,Male,7.775,347075,,General Labourer,3rd Class Passenger,3,Johan Samuel,Andersson,Mr,https://www.encyclopedia-titanica.org//titanic-victim/johan-samuel-andersson.html
56,56,56,56,"ANDERSSON, Mrs Alfrida Konstantia Brogren",Dead,Southampton,3,Woman,39,Adult,Female,31.275,347082,,,3rd Class Passenger,3,Alfrida Konstantia Brogren,Andersson,Mrs,https://www.encyclopedia-titanica.org//titanic-victim/alfrida-konstantia-brogren-andersson.html
57,57,57,57,"ANDREASSON, Mr Paul Edvin",Dead,Southampton,3,Man,20,Adult,Male,7.85416667,347466,,General Labourer,3rd Class Passenger,3,Paul Edvin,Andreasson,Mr,https://www.encyclopedia-titanica.org//titanic-victim/paul-edvin-andreasson.html
58,58,58,58,"ANDREW, Mr Edgar Samuel",Dead,Southampton,2,Man,17,Adult,Male,11.5,231945,,,2nd Class Passenger,2,Edgar Samuel,Andrew,Mr,https://www.encyclopedia-titanica.org//titanic-victim/edgar-samuel-andrew.html
59,59,59,59,"ANDREW, Mr Frank Thomas",Dead,Southampton,2,Man,25,Adult,Male,10.5,34050,,Miner,2nd Class Passenger,2,Frank Thomas,Andrew,Mr,https://www.encyclopedia-titanica.org//titanic-victim/frank-thomas-andrew.html
60,60,60,60,"ANDREWS, Miss Kornelia Theodosia",Alive,Cherbourg,1,Woman,62,Adult,Female,77.9583333,13502,10,,1st Class Passenger,1,Kornelia Theodosia,Andrews,Miss,https://www.encyclopedia-titanica.org//titanic-survivor/kornelia-theodosia-andrews.html
61,61,61,61,"ANDREWS, Mr Charles Edward",Alive,Southampton,Crew,Man,19,Adult,Male,,,16,Saloon Steward (2nd class),Victualling Crew,V,Charles Edward,Andrews,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/charles-edward-andrews.html
62,62,62,62,"ANDREWS, Mr Thomas",Dead,Belfast,1,Man,39,Adult,Male,0,112050,,Shipbuilder,1st Class PassengerH&W Guarantee Group,1,Thomas,Andrews,Mr,https://www.encyclopedia-titanica.org//titanic-victim/thomas-andrews.html
63,63,63,63,"ANGHELOFF, Mr Minko",Dead,Southampton,3,Man,26,Adult,Male,7.89583333,349202,,General Labourer,3rd Class Passenger,3,Minko,Angheloff,Mr,https://www.encyclopedia-titanica.org//titanic-victim/minko-angheloff.html
64,64,64,64,"ANGLE, Mr William A.",Dead,Southampton,2,Man,32,Adult,Male,26,226875,,,2nd Class Passenger,2,William A.,Angle,Mr,https://www.encyclopedia-titanica.org//titanic-victim/william-angle.html
65,65,65,65,"ANGLE, Mrs Florence Mary Agnes",Alive,Southampton,2,Woman,36,Adult,Female,26,,11,,,2,Florence Mary Agnes,Angle,Mrs,https://www.encyclopedia-titanica.org//titanic-survivor/florence-angle.html
66,66,66,66,"APPLETON, Mrs Charlotte",Alive,Southampton,1,Woman,53,Adult,Female,51.4791667,11769,2,,1st Class Passenger,1,Charlotte,Appleton,Mrs,https://www.encyclopedia-titanica.org//titanic-survivor/charlotte-appleton.html
67,67,67,67,"ARCHER, Mr Ernest Edward",Alive,Southampton,Crew,Man,35,Adult,Male,,,16,Able Seaman,Deck Crew,D,Ernest Edward,Archer,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/ernest-edward-archer.html
68,68,68,68,"ARNOLD-FRANCHI, Mr Josef",Dead,Southampton,3,Man,25,Adult,Male,17.8,349237,,General Labourer,3rd Class Passenger,3,Josef,Arnold-franchi,Mr,https://www.encyclopedia-titanica.org//titanic-victim/josef-arnold-franchi.html
69,69,69,69,"ARNOLD-FRANCHI, Mrs Josefine",Dead,Southampton,3,Woman,18,Adult,Female,17.8,349237,,,3rd Class Passenger,3,Josefine,Arnold-franchi,Mrs,https://www.encyclopedia-titanica.org//titanic-victim/josefine-arnold-franchi.html
70,70,70,70,"ARONSSON, Mr Ernst Axel Algot",Dead,Southampton,3,Man,24,Adult,Male,7.775,349911,,General Labourer,3rd Class Passenger,3,Ernst Axel Algot,Aronsson,Mr,https://www.encyclopedia-titanica.org//titanic-victim/ernst-axel-algot-aronsson.html
71,71,71,71,"ARTAGAVEYTIA, Mr Ramon",Dead,Cherbourg,1,Man,71,Adult,Male,49.5041667,17609,[22],Businessman,1st Class Passenger,1,Ramon,Artagaveytia,Mr,https://www.encyclopedia-titanica.org//titanic-victim/ramon-artagaveytia.html
72,72,72,72,"ASHBY, Mr John",Dead,Southampton,2,Man,57,Adult,Male,13,244346,,,2nd Class Passenger,2,John,Ashby,Mr,https://www.encyclopedia-titanica.org//titanic-victim/john-ashby.html
73,73,73,73,"ASHCROFT, Mr Austin Aloysius",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Clerk,Victualling Crew,V,Austin Aloysius,Ashcroft,Mr,https://www.encyclopedia-titanica.org//titanic-victim/austin-aloysius-ashcroft.html
74,74,74,74,"ASHE, Mr Henry Wellesley",Dead,Southampton,Crew,Man,41,Adult,Male,,,[34],Glory hole steward (3rd class),Victualling Crew,V,Henry Wellesley,Ashe,Mr,https://www.encyclopedia-titanica.org//titanic-victim/henry-wellesley-ashe.html
75,75,75,75,"ASIM, Mr Adola",Dead,Southampton,3,Man,35,Adult,Male,7.05,3101310,,General Labourer,3rd Class Passenger,3,Adola,Asim,Mr,https://www.encyclopedia-titanica.org//titanic-victim/adola-asim.html
76,76,76,76,"ASPESLAGH, Mr Georges",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Assistant Plateman,Restaurant Staff,R,Georges,Aspeslagh,Mr,https://www.encyclopedia-titanica.org//titanic-victim/georges-aspeslagh.html
77,77,77,77,"ASPLUND, Master Carl Edgar",Dead,Southampton,3,Child,5,Child,Male,31.3875,347077,,,3rd Class Passenger,3,Carl Edgar,Asplund,Master,https://www.encyclopedia-titanica.org//titanic-victim/carl-asplund.html
78,78,78,78,"ASPLUND, Master Clarence Gustaf Hugo",Dead,Southampton,3,Child,9,Child,Male,31.3875,347077,,,3rd Class Passenger,3,Clarence Gustaf Hugo,Asplund,Master,https://www.encyclopedia-titanica.org//titanic-victim/clarence-gustaf-hugo-asplund.html
79,79,79,79,"ASPLUND, Master Edvin Rojj Felix",Alive,Southampton,3,Child,3,Child,Male,31.3875,347077,15,,3rd Class Passenger,3,Edvin Rojj Felix,Asplund,Master,https://www.encyclopedia-titanica.org//titanic-survivor/edvin-rojj-felix-asplund.html
80,80,80,80,"ASPLUND, Master Filip Oscar",Dead,Southampton,3,Child,13,Child,Male,31.3875,347077,,,3rd Class Passenger,3,Filip Oscar,Asplund,Master,https://www.encyclopedia-titanica.org//titanic-victim/filip-oscar-asplund.html
81,81,81,81,"ASPLUND, Miss Lillian Gertrud",Alive,Southampton,3,Child,5,Child,Female,31.3875,347077,15,,3rd Class Passenger,3,Lillian Gertrud,Asplund,Miss,https://www.encyclopedia-titanica.org//titanic-survivor/lillian-gertrud-asplund.html
82,82,82,82,"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",Dead,Southampton,3,Man,40,Adult,Male,31.3875,347077,[142],General Labourer,3rd Class Passenger,3,Carl Oscar Vilhelm Gustafsson,Asplund,Mr,https://www.encyclopedia-titanica.org//titanic-victim/carl-asplund.html
83,83,83,83,"ASPLUND, Mr Johan Charles",Alive,Southampton,3,Man,23,Adult,Male,7.79583333,350054,13,,3rd Class Passenger,3,Johan Charles,Asplund,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/johan-charles-asplund.html
84,84,84,84,"ASPLUND, Mrs Selma Augusta Emilia",Alive,Southampton,3,Woman,38,Adult,Female,31.3875,347077,15,,3rd Class Passenger,3,Selma Augusta Emilia,Asplund,Mrs,https://www.encyclopedia-titanica.org//titanic-survivor/selma-augusta-emilia-asplund.html
85,85,85,85,"ASSAF, Mrs Mariana",Alive,Cherbourg,3,Woman,45,Adult,Female,7.225,2696,C,,3rd Class Passenger,3,Mariana,Assaf,Mrs,https://www.encyclopedia-titanica.org//titanic-survivor/mariana-assaf.html
86,86,86,86,"ASSAM, Mr Ali",Dead,Southampton,3,Man,23,Adult,Male,7.05,3101309,,General Labourer,3rd Class Passenger,3,Ali,Assam,Mr,https://www.encyclopedia-titanica.org//titanic-victim/ali-assam.html
87,87,87,87,"ASTOR, Colonel John Jacob",Dead,Cherbourg,1,Man,47,Adult,Male,247.525,17757,[124],Property Developer / Real Estate,1st Class Passenger,1,John Jacob,Astor,Colonel,https://www.encyclopedia-titanica.org//titanic-victim/john-jacob-astor.html
88,88,88,88,"ASTOR, Mrs Madeleine Talmage",Alive,Cherbourg,1,Woman,18,Adult,Female,247.525,17757,4,,1st Class Passenger,1,Madeleine Talmage,Astor,Mrs,https://www.encyclopedia-titanica.org//titanic-survivor/madeleine-talmage-astor.html
89,89,89,89,"ATTALA, Mr Sleiman",Dead,Cherbourg,3,Man,27,Adult,Male,7.225,2694,,Journalist,3rd Class Passenger,3,Sleiman,Attala,Mr,https://www.encyclopedia-titanica.org//titanic-victim/sleiman-attala.html
90,90,90,90,"ATTALAH, Miss Malake",Dead,Cherbourg,3,Woman,17,Adult,Female,14.4583333,2627,,,3rd Class Passenger,3,Malake,Attalah,Miss,https://www.encyclopedia-titanica.org//titanic-victim/malake-attalah.html
91,91,91,91,"AUBART, Mme. Lontine Pauline",Alive,Cherbourg,1,Woman,24,Adult,Female,69.3,17477,9,Singer,1st Class Passenger,1,Lontine Pauline,Aubart,Mme.,https://www.encyclopedia-titanica.org//titanic-survivor/leontine-pauline-aubart.html
92,92,92,92,"AUGUSTSSON, Mr Albert",Dead,Southampton,3,Man,23,Adult,Male,7.85416667,347468,,General Labourer,3rd Class Passenger,3,Albert,Augustsson,Mr,https://www.encyclopedia-titanica.org//titanic-victim/albert-augustsson.html
93,93,93,93,"AVERY, Mr James Albert",Alive,Southampton,Crew,Man,22,Adult,Male,,,15,Trimmer,Engineering Crew,E,James Albert,Avery,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/james-frank-avery.html
94,94,94,94,"AYLING, Mr Edwin George",Dead,Southampton,Crew,Man,22,Adult,Male,,,,Assistant Vegetable Cook,Victualling Crew,V,Edwin George,Ayling,Mr,https://www.encyclopedia-titanica.org//titanic-victim/george-edwin-ayling.html
95,95,95,95,"AYOUB DAHER, Miss Banoura",Alive,Cherbourg,3,Woman,15,Adult,Female,7.22916667,2687,C,,3rd Class Passenger,3,Banoura,Ayoub daher,Miss,https://www.encyclopedia-titanica.org/titanic-search.php?q=Banoura+Ayoub daher
96,96,96,96,"BACCOS, Mr Raffull",Dead,Cherbourg,3,Man,20,Adult,Male,7.225,2679,,Farm Labourer,3rd Class Passenger,3,Raffull,Baccos,Mr,https://www.encyclopedia-titanica.org//titanic-victim/raffull-baccos.html
97,97,97,97,"BACK, Mr Charles Frederick",Dead,Belfast,Crew,Man,32,Adult,Male,,,,Assistant Lounge Steward,Victualling Crew,V,Charles Frederick,Back,Mr,https://www.encyclopedia-titanica.org//titanic-victim/charles-frederick-back.html
98,98,98,98,"BACKSTRM, Mr Karl Alfred",Dead,Southampton,3,Man,32,Adult,Male,15.85,3101278,,General Labourer,3rd Class Passenger,3,Karl Alfred,Backstrm,Mr,https://www.encyclopedia-titanica.org//titanic-victim/karl-alfred-backstrom.html
99,99,99,99,"BACKSTRM, Mrs Maria Mathilda",Alive,Southampton,3,Woman,33,Adult,Female,15.85,3101278,,,3rd Class Passenger,3,Maria Mathilda,Backstrm,Mrs,https://www.encyclopedia-titanica.org//titanic-survivor/maria-mathilda-backstrom.html
100,100,100,100,"BACLINI, Miss Eugenie",Alive,Cherbourg,3,Child,3,Child,Female,19.2583333,2666,C,,3rd Class Passenger,3,Eugenie,Baclini,Miss,https://www.encyclopedia-titanica.org//titanic-survivor/eugenie-baclini.html
101,101,101,101,"BACLINI, Miss Helene Barbara",Alive,Cherbourg,3,Child,0,Child,Female,19.2583333,2666,C,,3rd Class Passenger,3,Helene Barbara,Baclini,Miss,https://www.encyclopedia-titanica.org//titanic-survivor/helene-baclini.html
102,102,102,102,"BACLINI, Miss Marie Catherine",Alive,Cherbourg,3,Child,5,Child,Female,19.2583333,2666,C,,3rd Class Passenger,3,Marie Catherine,Baclini,Miss,https://www.encyclopedia-titanica.org//titanic-survivor/marie-baclini.html
103,103,103,103,"BACLINI, Mrs Latifa",Alive,Cherbourg,3,Woman,24,Adult,Female,19.2583333,2666,C,,3rd Class Passenger,3,Latifa,Baclini,Mrs,https://www.encyclopedia-titanica.org//titanic-survivor/latifa-baclini.html
104,104,104,104,"BADMAN, Miss Emily Louisa",Alive,Southampton,3,Woman,18,Adult,Female,8.05,31416,C,Servant,3rd Class Passenger,3,Emily Louisa,Badman,Miss,https://www.encyclopedia-titanica.org//titanic-survivor/emily-badman.html
105,105,105,105,"BADT, Mr Mohamed",Dead,Cherbourg,3,Man,40,Adult,Male,7.225,2623,,Farmer,3rd Class Passenger,3,Mohamed,Badt,Mr,https://www.encyclopedia-titanica.org//titanic-victim/mohamed-badt.html
106,106,106,106,"BAGGOTT, Mr Allen Marden",Alive,Southampton,Crew,Man,28,Adult,Male,,,9,Saloon Steward,Victualling Crew,V,Allen Marden,Baggott,Mr,https://www.encyclopedia-titanica.org//titanic-survivor/allen-marden-baggott.html
